restaurant_id,name,city,area,cuisines,avg_cost_for_two,budget_band,rating,rating_count,attributes,source_updated_at
0a73fa8b-30c2-5ea5-8e1c-63ebf3604c97,Jalsa,Banashankari,Banashankari,"['North Indian', 'Mughlai', 'Chinese']",800.0,low,4.1,775,{},2026-04-14T16:58:16.338798+00:00
61cebc14-0d2b-5911-9cca-2d7e5d0ff077,Spice Elephant,Banashankari,Banashankari,"['Chinese', 'North Indian', 'Thai']",800.0,low,4.1,787,{},2026-04-14T16:58:16.338798+00:00
6d8fe0e2-7ae5-59a7-8ce4-428944d61e14,San Churro Cafe,Banashankari,Banashankari,"['Cafe', 'Mexican', 'Italian']",800.0,low,3.8,918,{},2026-04-14T16:58:16.338798+00:00
6b893b3e-d2d3-57f7-926c-2143482a8179,Addhuri Udupi Bhojana,Banashankari,Banashankari,"['South Indian', 'North Indian']",300.0,low,3.7,88,{},2026-04-14T16:58:16.338798+00:00
f0e4cc85-fcc7-552f-aeca-3e7a6d03a5b0,Grand Village,Banashankari,Basavanagudi,"['North Indian', 'Rajasthani']",600.0,low,3.8,166,{},2026-04-14T16:58:16.338798+00:00
7f4f15e2-f619-570d-8dc3-072108c1a84a,Timepass Dinner,Banashankari,Basavanagudi,['North Indian'],600.0,low,3.8,286,{},2026-04-14T16:58:16.338798+00:00
d76dac29-9445-547e-83b0-60db0b3bf615,Rosewood International Hotel - Bar & Restaurant,Banashankari,Mysore Road,"['North Indian', 'South Indian', 'Andhra', 'Chinese']",800.0,low,3.6,8,{},2026-04-14T16:58:16.338798+00:00
f1a56558-b29a-5237-8d87-5c07a735e9bc,Onesta,Banashankari,Banashankari,"['Pizza', 'Cafe', 'Italian']",600.0,low,4.6,2556,{},2026-04-14T16:58:16.338798+00:00
95dbb843-a26d-50dd-aec2-a6b631893876,Penthouse Cafe,Banashankari,Banashankari,"['Cafe', 'Italian', 'Continental']",700.0,low,4.0,324,{},2026-04-14T16:58:16.338798+00:00
54f6e66e-7cbd-5c6a-a4a2-974ade13cba8,Smacznego,Banashankari,Banashankari,"['Cafe', 'Mexican', 'Italian', 'Momos', 'Beverages']",550.0,low,4.2,504,{},2026-04-14T16:58:16.338798+00:00
3f7a8df2-e242-5f2c-a7ec-907bb6829a1d,CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Banashankari,Banashankari,['Cafe'],500.0,low,4.1,402,{},2026-04-14T16:58:16.338798+00:00
8fd2c70b-e20f-560b-a429-60c362fec81b,Cafe Shuffle,Banashankari,Banashankari,"['Cafe', 'Italian', 'Continental']",600.0,low,4.2,150,{},2026-04-14T16:58:16.338798+00:00
7e30675f-0cb1-5465-a976-4869f8971a09,The Coffee Shack,Banashankari,Banashankari,"['Cafe', 'Chinese', 'Continental', 'Italian']",500.0,low,4.2,164,{},2026-04-14T16:58:16.338798+00:00
146dea77-fa91-50b6-9739-f9d771a72944,Caf-Eleven,Banashankari,Banashankari,"['Cafe', 'Continental']",450.0,low,4.0,424,{},2026-04-14T16:58:16.338798+00:00
b913de7d-46c9-5439-acad-9332a2021ccb,Cafe Vivacity,Banashankari,Banashankari,['Cafe'],650.0,low,3.8,90,{},2026-04-14T16:58:16.338798+00:00
4ff13313-47e0-5fbe-ba85-c6eb13da4a44,Catch-up-ino,Banashankari,Banashankari,"['Cafe', 'Fast Food', 'Continental', 'Chinese', 'Momos']",800.0,low,3.9,133,{},2026-04-14T16:58:16.338798+00:00
28eb21ea-6015-50c0-a038-b5f1fbf02a15,Kirthi's Biryani,Banashankari,Banashankari,"['Chinese', 'Cafe', 'Italian']",700.0,low,3.8,144,{},2026-04-14T16:58:16.338798+00:00
ab4a469d-60fa-5fb4-8e0a-c61763a26170,T3H Cafe,Banashankari,Banashankari,"['Cafe', 'Italian', 'American']",300.0,low,3.9,93,{},2026-04-14T16:58:16.338798+00:00
16b42af4-aa86-5b0e-a96c-7bb59d887ca2,360 Atoms Restaurant And Cafe,Banashankari,Banashankari,"['Cafe', 'Chinese', 'Continental', 'Italian']",400.0,low,3.1,13,{},2026-04-14T16:58:16.338798+00:00
f30614da-2ac0-5864-b415-74f3991a6dcf,The Vintage Cafe,Banashankari,Banashankari,"['Cafe', 'French', 'North Indian']",400.0,low,3.0,62,{},2026-04-14T16:58:16.338798+00:00
6799dee4-015b-5e4c-9acb-8057fbce7c5f,Woodee Pizza,Banashankari,Banashankari,"['Cafe', 'Pizza', 'Fast Food', 'Beverages']",500.0,low,3.7,180,{},2026-04-14T16:58:16.338798+00:00
fc153fc8-27f8-5b63-ba7a-ca4509f6353c,Cafe Coffee Day,Banashankari,Banashankari,"['Cafe', 'Fast Food']",900.0,medium,3.6,28,{},2026-04-14T16:58:16.338798+00:00
9b11a77f-9f59-5771-9163-f5d679c47e9c,My Tea House,Banashankari,Banashankari,"['Italian', 'Fast Food', 'Cafe', 'European']",600.0,low,3.6,62,{},2026-04-14T16:58:16.338798+00:00
915a4048-3eaa-5817-8644-cc8b9d437e2e,Hide Out Cafe,Banashankari,Banashankari,['Cafe'],300.0,low,3.7,31,{},2026-04-14T16:58:16.338798+00:00
4e09967d-d1df-5bf3-baa5-996868f96db7,CAFE NOVA,Banashankari,Banashankari,"['Cafe', 'Bakery']",600.0,low,3.2,11,{},2026-04-14T16:58:16.338798+00:00
e4b65f88-7235-5c30-9b86-4451208f0c9f,Coffee Tindi,Banashankari,Banashankari,"['Cafe', 'South Indian']",200.0,low,3.8,75,{},2026-04-14T16:58:16.338798+00:00
248ac2f5-99c6-58f7-b056-9a5ba79ad57f,Sea Green Cafe,Banashankari,Banashankari,"['Cafe', 'Fast Food', 'Beverages']",500.0,low,3.3,4,{},2026-04-14T16:58:16.338798+00:00
e3a86345-8598-524c-a8f6-3bb25193cbe3,Cuppa,Banashankari,Banashankari,"['Cafe', 'Fast Food']",550.0,low,3.3,23,{},2026-04-14T16:58:16.338798+00:00
e0cc7352-15f9-5ab7-959a-10b91e5c5679,Srinathji's Cafe,Banashankari,Basavanagudi,"['North Indian', 'Cafe', 'Chinese', 'Fast Food']",550.0,low,3.8,148,{},2026-04-14T16:58:16.338798+00:00
7f27e994-8b62-5e01-95e2-73cb33fab984,Redberrys,Banashankari,Basavanagudi,"['Cafe', 'Italian']",600.0,low,4.0,219,{},2026-04-14T16:58:16.338798+00:00
828cac64-786c-5fc0-971c-5a6ffc6151f6,Foodiction,Banashankari,Banashankari,"['North Indian', 'Fast Food', 'Chinese', 'Burger']",500.0,low,2.8,506,{},2026-04-14T16:58:16.338798+00:00
8ab8fe33-308d-5296-b5d1-e258fc8b126f,Sweet Truth,Banashankari,Banashankari,"['Bakery', 'Desserts']",500.0,low,3.9,35,{},2026-04-14T16:58:16.338798+00:00
9ff0afe3-5d91-5a35-a6a7-f382ceb14613,Ovenstory Pizza,Banashankari,Banashankari,['Pizza'],750.0,low,3.9,172,{},2026-04-14T16:58:16.338798+00:00
11b93ee9-81f5-5ed9-95d0-2398aa4d3783,Faasos,Banashankari,Banashankari,"['North Indian', 'Biryani', 'Fast Food']",500.0,low,4.2,415,{},2026-04-14T16:58:16.338798+00:00
e1256ceb-21e9-5560-87a4-b80940cfd3aa,Behrouz Biryani,Banashankari,Banashankari,['Biryani'],650.0,low,3.9,230,{},2026-04-14T16:58:16.338798+00:00
363ad151-8a37-5b30-9734-174dab6ebb11,Fast And Fresh,Banashankari,Banashankari,"['North Indian', 'Chinese', 'Fast Food']",400.0,low,2.8,91,{},2026-04-14T16:58:16.338798+00:00
24d3e563-4cff-59a7-a772-21277d8118c7,Szechuan Dragon,Banashankari,Banashankari,"['Chinese', 'Thai', 'Momos']",600.0,low,4.2,1647,{},2026-04-14T16:58:16.338798+00:00
57323919-c06b-5917-a09e-aea52fea2b26,Empire Restaurant,Banashankari,Jayanagar,"['North Indian', 'Mughlai', 'South Indian', 'Chinese']",750.0,low,4.4,4884,{},2026-04-14T16:58:16.338798+00:00
30082a56-20cb-5a49-97f5-973523dab073,Maruthi Davangere Benne Dosa,Banashankari,Banashankari,['South Indian'],150.0,low,4.0,17,{},2026-04-14T16:58:16.338798+00:00
747fcf9c-0573-51e7-b127-513240119805,Chaatimes,Banashankari,Basavanagudi,"['Street Food', 'Fast Food']",200.0,low,3.8,133,{},2026-04-14T16:58:16.338798+00:00
6aaae7dc-5e68-5605-8cc6-9e0b876cac60,Havyaka Mess,Banashankari,Banashankari,['South Indian'],300.0,low,3.9,28,{},2026-04-14T16:58:16.338798+00:00
f2584207-b73b-5946-914d-09b2a0085e99,McDonald's,Banashankari,Banashankari,"['Burger', 'Fast Food']",500.0,low,3.9,286,{},2026-04-14T16:58:16.338798+00:00
506aac4f-781c-527b-b924-31fd7a3a48c4,Domino's Pizza,Banashankari,Banashankari,"['Pizza', 'Fast Food']",800.0,low,3.9,540,{},2026-04-14T16:58:16.338798+00:00
b09ad3ef-5e4e-5d22-a2ad-1494e76b5469,Hotboxit,Banashankari,Banashankari,"['North Indian', 'Continental', 'Italian']",400.0,low,3.8,36,{},2026-04-14T16:58:16.338798+00:00
717b1d08-80e8-52b7-88a2-65e5cf10017f,Kitchen Garden,Banashankari,Kumaraswamy Layout,"['North Indian', 'Chinese']",300.0,low,3.6,244,{},2026-04-14T16:58:16.338798+00:00
6d70aec6-27e6-5671-be8c-e1eca8204845,Recipe,Banashankari,Kumaraswamy Layout,"['North Indian', 'Chinese', 'Biryani', 'Rolls']",450.0,low,4.0,804,{},2026-04-14T16:58:16.338798+00:00
0f85cbeb-5e2e-570e-9216-01a5cac4a747,Beijing Bites,Banashankari,Rajarajeshwari Nagar,"['Chinese', 'Thai']",850.0,medium,3.7,679,{},2026-04-14T16:58:16.338798+00:00
2df70b93-e1a0-5cdc-8814-040dfe3332dc,Tasty Bytes,Banashankari,Kumaraswamy Layout,"['North Indian', 'Chinese', 'Momos', 'Rolls']",300.0,low,3.1,245,{},2026-04-14T16:58:16.338798+00:00
e279ccc5-d94d-5503-bfb9-ce9ad89245a8,Petoo,Banashankari,Banashankari,['North Indian'],450.0,low,3.7,21,{},2026-04-14T16:58:16.338798+00:00
094e2283-2ff8-5ecb-ae59-dcb5bc01c0bf,Shree Cool Point,Banashankari,Vijay Nagar,"['Fast Food', 'Street Food', 'Beverages']",150.0,low,4.1,28,{},2026-04-14T16:58:16.338798+00:00
